"Name"	"dX"	"Nv"	"dR"	"Tc"
"1"	"[Ba0.2La1.8]Cu1O4"	-1.85057142857143	5.82857142857143	1.65634285714286	29
"2"	"[Ba0.1La1.9][Ag0.1Cu0.9]O4"	-1.84728571428571	5.84285714285714	1.67088571428571	26.5
"3"	"[Ba0.1La1.9]Cu1O4"	-1.84671428571429	5.84285714285714	1.65174285714286	19
"4"	"[Ba0.15La1.85]Cu1O4"	-1.84864285714286	5.83571428571429	1.65404285714286	26.6666666666667
"5"	"[Ba0.3La1.7]Cu1O4"	-1.85442857142857	5.81428571428571	1.66094285714286	23
"6"	"[Ba0.5La1.5]Cu1O4"	-1.86214285714286	5.78571428571429	1.67014285714286	23
"7"	"[Ba1La1]Cu1O4"	-1.88142857142857	5.71428571428571	1.69314285714286	11
"8"	"[Sr0.1La1.9]Cu1O4"	-1.846	5.84285714285714	1.649	33
"9"	"[Sr0.15La1.85]Cu1O4"	-1.84757142857143	5.83571428571429	1.64992857142857	35.35
"10"	"[Sr0.2La1.8]Cu1O4"	-1.84914285714286	5.82857142857143	1.65085714285714	31
"11"	"[Sr0.3La1.7]Cu1O4"	-1.85228571428571	5.81428571428571	1.65271428571429	33
"12"	"[Ba0.3La1.7Hg0.3]Cu0.7O4"	-1.80432298136646	5.85714285714286	1.80467826086957	26
"13"	"[Ba0.1La1.9Ag0.05]Cu0.95O4"	-1.84142857142857	5.84285714285714	1.67638954703833	27
"14"	"[Ba0.1La1.9Ag0.25]Cu0.75O4"	-1.8227619047619	5.84285714285714	1.76827619047619	26
"15"	"[Ba0.1La1.9Ag0.5]Cu0.5O4"	-1.80388571428571	5.84285714285714	1.87107428571429	27
"16"	"[Y1Ba1.5Ca0.5]Cu3O7"	-2.06769230769231	6.30769230769231	1.45384615384615	82
"17"	"[La1.85Ba0.15]Cu1O4"	-1.84864285714286	5.83571428571429	1.65404285714286	27.85
"18"	"[La1.85Sr0.15]Cu1O4"	-1.84757142857143	5.83571428571429	1.64992857142857	36.0628571428571
"19"	"[La1.95Sr0.05]Cu1O4"	-1.84442857142857	5.85	1.64807142857143	9.70025
"20"	"[La1.9Sr0.1]Cu1O4"	-1.846	5.84285714285714	1.649	28.0932432432432
"21"	"[La1.775Sr0.225]Cu1O4"	-1.84992857142857	5.825	1.65132142857143	26.1666666666667
"22"	"[La1.75Sr0.25]Cu1O4"	-1.85071428571429	5.82142857142857	1.65178571428571	17.1888888888889
"23"	"[La1.7Sr0.3]Cu1O4"	-1.85228571428571	5.81428571428571	1.65271428571429	14.9625
"24"	"[La1.65Sr0.35]Cu1O4"	-1.85385714285714	5.80714285714286	1.65364285714286	18.3
"25"	"[La1.6Sr0.4]Cu1O4"	-1.85542857142857	5.8	1.65457142857143	18.3
"26"	"[La1.825Sr0.175]Cu1O4"	-1.84835714285714	5.83214285714286	1.65039285714286	32.5
"27"	"[La1.85Ca0.15]Cu1O4"	-1.84671428571429	5.83571428571429	1.64542857142857	22.74
"30"	"[Y0.4Ba0.6]Cu1O2"	-2.24	6.35	1.575	90.25
"31"	"[Er0.5Ba0.5]Cu1O2"	-2.24	6.375	1.575	92
"32"	"[Tm0.35Ba0.65]Cu1O2"	-2.24	6.3375	1.575	93.2
"33"	"[Tm0.3Ba0.7]Cu1O2"	-2.24	6.325	1.575	94.4
"34"	"[Tm0.25Ba0.75]Cu1O2"	-2.24	6.3125	1.575	93.2
"35"	"[Tm0.2Ba0.8]Cu1O2"	-2.24	6.3	1.575	80.5
"36"	"[La2Ba4]Cu6O14"	-2.06769230769231	6.30769230769231	1.45384615384615	48
